time,c,complete,h,l,o,volume
2002-05-07 21:00:00,0.90435,True,0.90435,0.90435,0.90435,1
2002-05-08 21:00:00,0.90935,True,0.90935,0.90935,0.90935,1
2002-05-09 21:00:00,0.914,True,0.914,0.914,0.914,1
2002-05-10 21:00:00,0.9141,True,0.9141,0.9141,0.9141,1
2002-05-12 21:00:00,0.91155,True,0.91155,0.91155,0.91155,1
2002-05-13 21:00:00,0.90275,True,0.90275,0.90275,0.90275,1
2002-05-14 21:00:00,0.91255,True,0.91255,0.91255,0.91255,1
2002-05-15 21:00:00,0.91195,True,0.91195,0.91195,0.91195,1
2002-05-16 21:00:00,0.9209,True,0.9209,0.9209,0.9209,1
2002-05-18 21:00:00,0.9201,True,0.9201,0.9201,0.9201,1
2002-05-19 21:00:00,0.92095,True,0.92095,0.92095,0.92095,1
2002-05-20 21:00:00,0.91985,True,0.91985,0.91985,0.91985,1
2002-05-21 21:00:00,0.92575,True,0.92575,0.92575,0.92575,1
2002-05-22 21:00:00,0.92145,True,0.92145,0.92145,0.92145,1
2002-05-23 21:00:00,0.921,True,0.921,0.921,0.921,1
2002-05-24 21:00:00,0.9211,True,0.9211,0.9211,0.9211,1
2002-05-26 21:00:00,0.9209,True,0.9209,0.9209,0.9209,1
2002-05-27 21:00:00,0.92875,True,0.92875,0.92875,0.92875,1
2002-05-28 21:00:00,0.93545,True,0.93545,0.93545,0.93545,1
2002-05-29 21:00:00,0.93705,True,0.93705,0.93705,0.93705,1
2002-05-30 21:00:00,0.9339,True,0.9339,0.9339,0.9339,1
2002-06-01 21:00:00,0.9329,True,0.9329,0.9329,0.9329,1
2002-06-02 21:00:00,0.94105,True,0.94105,0.94105,0.94105,1
2002-06-03 21:00:00,0.93935,True,0.93935,0.93935,0.93935,1
2002-06-04 21:00:00,0.93935,True,0.93935,0.93935,0.93935,1
2002-06-05 21:00:00,0.94765,True,0.94765,0.94765,0.94765,1
2002-06-06 21:00:00,0.944,True,0.944,0.944,0.944,1
2002-06-08 21:00:00,0.9432,True,0.9432,0.9432,0.9432,1
2002-06-09 21:00:00,0.94455,True,0.94455,0.94455,0.94455,1
2002-06-10 21:00:00,0.94825,True,0.94825,0.94825,0.94825,1
2002-06-11 21:00:00,0.94395,True,0.94395,0.94395,0.94395,1
2002-06-12 21:00:00,0.94345,True,0.94345,0.94345,0.94345,1
2002-06-13 21:00:00,0.9456,True,0.9456,0.9456,0.9456,1
2002-06-15 21:00:00,0.9453,True,0.9453,0.9453,0.9453,1
2002-06-16 21:00:00,0.94445,True,0.94445,0.94445,0.94445,1
2002-06-17 21:00:00,0.95185,True,0.95185,0.95185,0.95185,1
2002-06-18 21:00:00,0.95745,True,0.95745,0.95745,0.95745,1
2002-06-19 21:00:00,0.965,True,0.965,0.965,0.965,1
2002-06-20 21:00:00,0.9711,True,0.9711,0.9711,0.9711,1
2002-06-21 21:00:00,0.9706,True,0.9706,0.9706,0.9706,1
2002-06-23 21:00:00,0.97045,True,0.97045,0.97045,0.97045,1
2002-06-24 21:00:00,0.97935,True,0.97935,0.97935,0.97935,1
2002-06-25 21:00:00,0.9806,True,0.9806,0.9806,0.9806,1
2002-06-26 21:00:00,0.98865,True,0.98865,0.98865,0.98865,1
2002-06-27 21:00:00,0.9919,True,0.9919,0.9919,0.9919,1
2002-06-29 21:00:00,0.9915,True,0.9915,0.9915,0.9915,1
2002-06-30 21:00:00,0.9911,True,0.9911,0.9911,0.9911,1
2002-07-01 21:00:00,0.98635,True,0.98635,0.98635,0.98635,1
2002-07-02 21:00:00,0.98065,True,0.98065,0.98065,0.98065,1
2002-07-03 21:00:00,0.97945,True,0.97945,0.97945,0.97945,1
2002-07-04 21:00:00,0.9731,True,0.9731,0.9731,0.9731,1
2002-07-06 21:00:00,0.9746,True,0.9746,0.9746,0.9746,1
2002-07-07 21:00:00,0.99075,True,0.99075,0.99075,0.99075,1
2002-07-08 21:00:00,0.99355,True,0.99355,0.99355,0.99355,1
2002-07-09 21:00:00,0.98855,True,0.98855,0.98855,0.98855,1
2002-07-10 21:00:00,0.98915,True,0.98915,0.98915,0.98915,1
2002-07-11 21:00:00,0.9915,True,0.9915,0.9915,0.9915,1
2002-07-13 21:00:00,0.9912,True,0.9912,0.9912,0.9912,1
2002-07-14 21:00:00,1.00355,True,1.00355,1.00355,1.00355,1
2002-07-15 21:00:00,1.01195,True,1.01195,1.01195,1.01195,1
2002-07-16 21:00:00,1.00705,True,1.00705,1.00705,1.00705,1
2002-07-17 21:00:00,1.0112,True,1.0112,1.0112,1.0112,1
2002-07-18 21:00:00,1.0117,True,1.0117,1.0117,1.0117,1
2002-07-19 21:00:00,1.0107,True,1.0107,1.0107,1.0107,1
2002-07-20 21:00:00,1.0112,True,1.0112,1.0112,1.0112,1
2002-07-21 21:00:00,1.00865,True,1.00865,1.00865,1.00865,1
2002-07-22 21:00:00,0.98885,True,0.98885,0.98885,0.98885,1
2002-07-23 21:00:00,0.99515,True,0.99515,0.99515,0.99515,1
2002-07-24 21:00:00,1.00445,True,1.00445,1.00445,1.00445,1
2002-07-25 21:00:00,0.9871,True,0.9871,0.9871,0.9871,1
2002-07-27 21:00:00,0.9867,True,0.9867,0.9867,0.9867,1
2002-07-28 21:00:00,0.9808,True,0.9808,0.9808,0.9808,1
2002-07-29 21:00:00,0.9834,True,0.9834,0.9834,0.9834,1
2002-07-30 21:00:00,0.9775,True,0.9775,0.9775,0.9775,1
2002-07-31 21:00:00,0.98445,True,0.98445,0.98445,0.98445,1
2002-08-01 21:00:00,0.9866,True,0.9866,0.9866,0.9866,1
2002-08-03 21:00:00,0.9864,True,0.9864,0.9864,0.9864,1
2002-08-04 21:00:00,0.98015,True,0.98015,0.98015,0.98015,1
2002-08-05 21:00:00,0.96635,True,0.96635,0.96635,0.96635,1
2002-08-06 21:00:00,0.97485,True,0.97485,0.97485,0.97485,1
2002-08-07 21:00:00,0.9672,True,0.9672,0.9672,0.9672,1
2002-08-08 21:00:00,0.9704,True,0.9704,0.9704,0.9704,1
2002-08-10 21:00:00,0.9698,True,0.9698,0.9698,0.9698,1
2002-08-11 21:00:00,0.97895,True,0.97895,0.97895,0.97895,1
2002-08-12 21:00:00,0.98385,True,0.98385,0.98385,0.98385,1
2002-08-13 21:00:00,0.9797,True,0.9797,0.9797,0.9797,1
2002-08-14 21:00:00,0.982,True,0.982,0.982,0.982,1
2002-08-15 21:00:00,0.9851,True,0.9851,0.9851,0.9851,1
2002-08-17 21:00:00,0.984,True,0.984,0.984,0.984,1
2002-08-18 21:00:00,0.97625,True,0.97625,0.97625,0.97625,1
2002-08-19 21:00:00,0.97915,True,0.97915,0.97915,0.97915,1
2002-08-20 21:00:00,0.98065,True,0.98065,0.98065,0.98065,1
2002-08-21 21:00:00,0.96915,True,0.96915,0.96915,0.96915,1
2002-08-22 21:00:00,0.973,True,0.973,0.973,0.973,1
2002-08-24 21:00:00,0.973,True,0.973,0.973,0.973,1
2002-08-25 21:00:00,0.97195,True,0.97195,0.97195,0.97195,1
2002-08-26 21:00:00,0.9833,True,0.9833,0.9833,0.9833,1
2002-08-27 21:00:00,0.97925,True,0.97925,0.97925,0.97925,1
2002-08-28 21:00:00,0.98485,True,0.98485,0.98485,0.98485,1
2002-08-29 21:00:00,0.9822,True,0.9822,0.9822,0.9822,1
2002-08-31 21:00:00,0.9823,True,0.9823,0.9823,0.9823,1
2002-09-01 21:00:00,0.9837,True,0.9837,0.9837,0.9837,1
2002-09-02 21:00:00,0.99695,True,0.99695,0.99695,0.99695,1
2002-09-03 21:00:00,0.9929,True,0.9929,0.9929,0.9929,1
2002-09-04 21:00:00,0.9916,True,0.9916,0.9916,0.9916,1
2002-09-07 21:00:00,0.9816,True,0.9816,0.9816,0.9816,1
2002-09-08 21:00:00,0.97955,True,0.97955,0.97955,0.97955,1
2002-09-09 21:00:00,0.97555,True,0.97555,0.97555,0.97555,1
2002-09-11 21:00:00,0.98195,True,0.98195,0.98195,0.98195,1
2002-09-12 21:00:00,0.9717,True,0.9717,0.9717,0.9717,1
2002-09-14 21:00:00,0.9708,True,0.9708,0.9708,0.9708,1
2002-09-15 21:00:00,0.9692,True,0.9692,0.9692,0.9692,1
2002-09-16 21:00:00,0.97465,True,0.97465,0.97465,0.97465,1
2002-09-17 21:00:00,0.97795,True,0.97795,0.97795,0.97795,1
2002-09-18 21:00:00,0.98665,True,0.98665,0.98665,0.98665,1
2002-09-19 21:00:00,0.9823,True,0.9823,0.9823,0.9823,1
2002-09-21 21:00:00,0.9811,True,0.9811,0.9811,0.9811,1
2002-09-22 21:00:00,0.97815,True,0.97815,0.97815,0.97815,1
2002-09-23 21:00:00,0.9815,True,0.9815,0.9815,0.9815,1
2002-09-24 21:00:00,0.9762,True,0.9762,0.9762,0.9762,1
2002-09-25 21:00:00,0.97665,True,0.97665,0.97665,0.97665,1
2002-09-26 21:00:00,0.9805,True,0.9805,0.9805,0.9805,1
2002-09-28 21:00:00,0.981,True,0.981,0.981,0.981,1
2002-09-29 21:00:00,0.9875,True,0.9875,0.9875,0.9875,1
2002-09-30 21:00:00,0.9829,True,0.9829,0.9829,0.9829,1
2002-10-01 21:00:00,0.98695,True,0.98695,0.98695,0.98695,1
2002-10-02 21:00:00,0.9879,True,0.9879,0.9879,0.9879,1
2002-10-03 21:00:00,0.9793,True,0.9793,0.9793,0.9793,1
2002-10-05 21:00:00,0.9797,True,0.9797,0.9797,0.9797,1
2002-10-06 21:00:00,0.9835,True,0.9835,0.9835,0.9835,1
2002-10-07 21:00:00,0.9788,True,0.9788,0.9788,0.9788,1
2002-10-08 21:00:00,0.98975,True,0.98975,0.98975,0.98975,1
2002-10-09 21:00:00,0.9863,True,0.9863,0.9863,0.9863,1
2002-10-10 21:00:00,0.9873,True,0.9873,0.9873,0.9873,1
2002-10-12 21:00:00,0.9872,True,0.9872,0.9872,0.9872,1
