time,c,complete,h,l,o,volume
2002-05-07 21:00:00,1.45585,True,1.45585,1.45585,1.45585,1
2002-05-08 21:00:00,1.46,True,1.46,1.46,1.46,1
2002-05-09 21:00:00,1.4639,True,1.4639,1.4639,1.4639,1
2002-05-10 21:00:00,1.4638,True,1.4638,1.4638,1.4638,1
2002-05-12 21:00:00,1.4567,True,1.4567,1.4567,1.4567,1
2002-05-13 21:00:00,1.4503,True,1.4503,1.4503,1.4503,1
2002-05-14 21:00:00,1.4606,True,1.4606,1.4606,1.4606,1
2002-05-15 21:00:00,1.4565,True,1.4565,1.4565,1.4565,1
2002-05-16 21:00:00,1.4582,True,1.4582,1.4582,1.4582,1
2002-05-18 21:00:00,1.4581,True,1.4581,1.4581,1.4581,1
2002-05-19 21:00:00,1.4584,True,1.4584,1.4584,1.4584,1
2002-05-20 21:00:00,1.4599,True,1.4599,1.4599,1.4599,1
2002-05-21 21:00:00,1.4589,True,1.4589,1.4589,1.4589,1
2002-05-22 21:00:00,1.4551,True,1.4551,1.4551,1.4551,1
2002-05-23 21:00:00,1.4573,True,1.4573,1.4573,1.4573,1
2002-05-26 21:00:00,1.4571,True,1.4571,1.4571,1.4571,1
2002-05-27 21:00:00,1.4591,True,1.4591,1.4591,1.4591,1
2002-05-28 21:00:00,1.462,True,1.462,1.462,1.462,1
2002-05-29 21:00:00,1.4652,True,1.4652,1.4652,1.4652,1
2002-05-30 21:00:00,1.4568,True,1.4568,1.4568,1.4568,1
2002-06-01 21:00:00,1.4563,True,1.4563,1.4563,1.4563,1
2002-06-02 21:00:00,1.4634,True,1.4634,1.4634,1.4634,1
2002-06-03 21:00:00,1.4588,True,1.4588,1.4588,1.4588,1
2002-06-04 21:00:00,1.46,True,1.46,1.46,1.46,1
2002-06-05 21:00:00,1.4608,True,1.4608,1.4608,1.4608,1
2002-06-06 21:00:00,1.4601,True,1.4601,1.4601,1.4601,1
2002-06-08 21:00:00,1.4595,True,1.4595,1.4595,1.4595,1
2002-06-09 21:00:00,1.46055,True,1.46055,1.46055,1.46055,1
2002-06-10 21:00:00,1.47155,True,1.47155,1.47155,1.47155,1
2002-06-11 21:00:00,1.47115,True,1.47115,1.47115,1.47115,1
2002-06-12 21:00:00,1.47235,True,1.47235,1.47235,1.47235,1
2002-06-13 21:00:00,1.4769,True,1.4769,1.4769,1.4769,1
2002-06-15 21:00:00,1.4778,True,1.4778,1.4778,1.4778,1
2002-06-16 21:00:00,1.4798,True,1.4798,1.4798,1.4798,1
2002-06-17 21:00:00,1.4911,True,1.4911,1.4911,1.4911,1
2002-06-18 21:00:00,1.4912,True,1.4912,1.4912,1.4912,1
2002-06-19 21:00:00,1.4986,True,1.4986,1.4986,1.4986,1
2002-06-20 21:00:00,1.4974,True,1.4974,1.4974,1.4974,1
2002-06-21 21:00:00,1.4974,True,1.4974,1.4974,1.4974,1
2002-06-23 21:00:00,1.50115,True,1.50115,1.50115,1.50115,1
2002-06-24 21:00:00,1.5088,True,1.5088,1.5088,1.5088,1
2002-06-25 21:00:00,1.5254,True,1.5254,1.5254,1.5254,1
2002-06-26 21:00:00,1.52965,True,1.52965,1.52965,1.52965,1
2002-06-27 21:00:00,1.5334,True,1.5334,1.5334,1.5334,1
2002-06-29 21:00:00,1.5331,True,1.5331,1.5331,1.5331,1
2002-06-30 21:00:00,1.53315,True,1.53315,1.53315,1.53315,1
2002-07-01 21:00:00,1.53595,True,1.53595,1.53595,1.53595,1
2002-07-02 21:00:00,1.52775,True,1.52775,1.52775,1.52775,1
2002-07-03 21:00:00,1.52765,True,1.52765,1.52765,1.52765,1
2002-07-04 21:00:00,1.5223,True,1.5223,1.5223,1.5223,1
2002-07-05 21:00:00,1.5222,True,1.5222,1.5222,1.5222,1
2002-07-07 21:00:00,1.54475,True,1.54475,1.54475,1.54475,1
2002-07-08 21:00:00,1.54875,True,1.54875,1.54875,1.54875,1
2002-07-09 21:00:00,1.54755,True,1.54755,1.54755,1.54755,1
2002-07-10 21:00:00,1.55475,True,1.55475,1.55475,1.55475,1
2002-07-11 21:00:00,1.5536,True,1.5536,1.5536,1.5536,1
2002-07-12 21:00:00,1.5536,True,1.5536,1.5536,1.5536,1
2002-07-14 21:00:00,1.5692,True,1.5692,1.5692,1.5692,1
2002-07-15 21:00:00,1.5758,True,1.5758,1.5758,1.5758,1
2002-07-16 21:00:00,1.5709,True,1.5709,1.5709,1.5709,1
2002-07-17 21:00:00,1.5732,True,1.5732,1.5732,1.5732,1
2002-07-18 21:00:00,1.5776,True,1.5776,1.5776,1.5776,1
2002-07-20 21:00:00,1.577,True,1.577,1.577,1.577,1
2002-07-21 21:00:00,1.5797,True,1.5797,1.5797,1.5797,1
