time,c,complete,h,l,o,volume
2002-05-07 21:00:00,128.92,True,128.92,128.92,128.92,1
2002-05-08 21:00:00,128.38,True,128.38,128.38,128.38,1
2002-05-09 21:00:00,127.63,True,127.63,127.63,127.63,1
2002-05-10 21:00:00,127.62,True,127.62,127.62,127.62,1
2002-05-12 21:00:00,127.86,True,127.86,127.86,127.86,1
2002-05-13 21:00:00,128.54,True,128.54,128.54,128.54,1
2002-05-14 21:00:00,127.61,True,127.61,127.61,127.61,1
2002-05-15 21:00:00,128.06,True,128.06,128.06,128.06,1
2002-05-16 21:00:00,125.93,True,125.93,125.93,125.93,1
2002-05-18 21:00:00,125.94,True,125.94,125.94,125.94,1
2002-05-19 21:00:00,125.4,True,125.4,125.4,125.4,1
2002-05-20 21:00:00,124.17,True,124.17,124.17,124.17,1
2002-05-21 21:00:00,124.22,True,124.22,124.22,124.22,1
2002-05-22 21:00:00,124.95,True,124.95,124.95,124.95,1
2002-05-23 21:00:00,124.72,True,124.72,124.72,124.72,1
2002-05-24 21:00:00,124.85,True,124.85,124.85,124.85,1
2002-05-26 21:00:00,124.755,True,124.755,124.755,124.755,1
2002-05-27 21:00:00,124.58,True,124.58,124.58,124.58,1
2002-05-28 21:00:00,124.45,True,124.45,124.45,124.45,1
2002-05-29 21:00:00,123.4,True,123.4,123.4,123.4,1
2002-05-30 21:00:00,124.2,True,124.2,124.2,124.2,1
2002-06-01 21:00:00,124.25,True,124.25,124.25,124.25,1
2002-06-02 21:00:00,123.61,True,123.61,123.61,123.61,1
2002-06-03 21:00:00,124.14,True,124.14,124.14,124.14,1
2002-06-04 21:00:00,124.4,True,124.4,124.4,124.4,1
2002-06-05 21:00:00,124.09,True,124.09,124.09,124.09,1
2002-06-06 21:00:00,124.38,True,124.38,124.38,124.38,1
2002-06-08 21:00:00,124.41,True,124.41,124.41,124.41,1
2002-06-09 21:00:00,124.74,True,124.74,124.74,124.74,1
2002-06-10 21:00:00,125.28,True,125.28,125.28,125.28,1
2002-06-11 21:00:00,125.7,True,125.7,125.7,125.7,1
2002-06-12 21:00:00,124.89,True,124.89,124.89,124.89,1
2002-06-13 21:00:00,124.15,True,124.15,124.15,124.15,1
2002-06-15 21:00:00,124.09,True,124.09,124.09,124.09,1
2002-06-16 21:00:00,124.35,True,124.35,124.35,124.35,1
2002-06-17 21:00:00,124.37,True,124.37,124.37,124.37,1
2002-06-18 21:00:00,123.92,True,123.92,123.92,123.92,1
2002-06-19 21:00:00,123.48,True,123.48,123.48,123.48,1
2002-06-20 21:00:00,121.39,True,121.39,121.39,121.39,1
2002-06-22 21:00:00,121.39,True,121.39,121.39,121.39,1
2002-06-23 21:00:00,121.875,True,121.875,121.875,121.875,1
2002-06-24 21:00:00,121.35,True,121.35,121.35,121.35,1
2002-06-25 21:00:00,120.05,True,120.05,120.05,120.05,1
2002-06-26 21:00:00,119.56,True,119.56,119.56,119.56,1
2002-06-27 21:00:00,119.48,True,119.48,119.48,119.48,1
2002-06-29 21:00:00,119.61,True,119.61,119.61,119.61,1
2002-06-30 21:00:00,119.66,True,119.66,119.66,119.66,1
2002-07-01 21:00:00,119.91,True,119.91,119.91,119.91,1
